变量,VIF,Tolerance,是否严重共线性(VIF>=5)
平和质,1.2206334374014949,0.819246769225671,否
痰湿质,1.0632905558499985,0.940476706482732,否
血瘀质,1.0498869550918226,0.9524834984853588,否
气虚质,1.0496799299945347,0.9526713538337411,否
阳虚质,1.0437688686510957,0.9580665126488588,否
湿热质,1.0436202381371835,0.9582029587553383,否
气郁质,1.0408555437976728,0.9607481133754575,否
阴虚质,1.036248789577935,0.9650192213081386,否
特禀质,1.0351482138020907,0.9660452355194706,否
HDL-C（高密度脂蛋白）,1.0299925507546588,0.9708808080867345,否
LDL-C（低密度脂蛋白）,1.0294956420928814,0.9713494250126993,否
TC（总胆固醇）,1.02804357106876,0.9727214177900982,否
TG（甘油三酯）,1.0231554293580747,0.977368610189947,否
血尿酸,1.0191775545045472,0.9811833037140717,否
IADL总分,1.0180555033853327,0.9822647160932848,否
BMI,1.016302834797392,0.983958684125247,否
ADL总分,1.0121539155649129,0.9879920283091239,否
空腹血糖,1.0077778277656355,0.992282199953853,否
