分析类型,变量,VIF,Tolerance,共线性是否严重,回归系数β,标准误,z值,p值,OR(每增加1个SD),OR的95%CI,效应方向(β符号),显著性(p<0.05)
共线性VIF,平和质,1.2094860878772644,0.8267974390305493,否,,,,,,,,
共线性VIF,痰湿质,1.056833915481028,0.9462224720000971,否,,,,,,,,
共线性VIF,血瘀质,1.0417447828443096,0.9599280135290599,否,,,,,,,,
共线性VIF,气虚质,1.0376058117187206,0.9637571307966855,否,,,,,,,,
共线性VIF,湿热质,1.0347969264282584,0.9663731834338118,否,,,,,,,,
共线性VIF,阳虚质,1.034495345007019,0.9666549055309815,否,,,,,,,,
共线性VIF,气郁质,1.0337613074813568,0.9673412931621398,否,,,,,,,,
共线性VIF,阴虚质,1.0288305438529415,0.9719773639836042,否,,,,,,,,
共线性VIF,特禀质,1.0237535852389943,0.9767975559924911,否,,,,,,,,
标准化Logistic,气虚质,,,,0.12251614327742377,0.07960138564358903,1.539120736239232,0.12377482356974483,1.1303373672764283,"0.967055, 1.321189",正向,否
标准化Logistic,平和质,,,,0.08335993450604424,0.08735941367248108,0.9542181088642459,0.3399732500216036,1.0869329628281326,"0.915888, 1.289921",正向,否
标准化Logistic,湿热质,,,,-0.050484074827452055,0.07913056525083653,-0.6379845091137948,0.5234837640228468,0.9507690697132531,"0.814177, 1.110276",负向,否
标准化Logistic,血瘀质,,,,-0.04764612686207724,0.0796454134804429,-0.5982281311625915,0.5496877233827269,0.9534711352072983,"0.815668, 1.114556",负向,否
标准化Logistic,阳虚质,,,,0.020524021645289072,0.07923627616799983,0.25902304648660224,0.7956174586387079,1.0207360877089262,"0.873911, 1.192229",正向,否
标准化Logistic,特禀质,,,,-0.014958931946111883,0.07865624423546522,-0.19018111138552263,0.8491672119283974,0.985152397064033,"0.844406, 1.149359",负向,否
标准化Logistic,气郁质,,,,0.012679875623100193,0.07923104049231482,0.16003671722991072,0.8728521507917274,1.0127606061026346,"0.867092, 1.182901",正向,否
标准化Logistic,痰湿质,,,,-0.00809407160531038,0.07989093810779589,-0.10131401379201663,0.9193011920378998,0.9919385971916519,"0.848167, 1.160080",负向,否
标准化Logistic,阴虚质,,,,0.0028900953897616267,0.07917450452933641,0.036502854131417566,0.9708814029598679,1.0028942757416777,"0.858740, 1.171247",正向,否
