变量名,系数,标准误,t值,p值,下限95CI,上限95CI
截距,32.97699999999996,0.6379134307572684,51.695102203527675,1.772592647990088e-283,31.725182222137583,34.22881777786234
HDL-C（高密度脂蛋白）,0.1936999511183929,0.6422636145052857,0.30158948248624284,0.7630283638119334,-1.0666544668117002,1.4540543690484857
LDL-C（低密度脂蛋白）,0.45479334170609664,0.6464677722344835,0.7035050488814412,0.4819064768486586,-0.81381116022066,1.7233978436328532
TG（甘油三酯）,-0.3778662410748245,0.6440561714112644,-0.5866976481986642,0.5575405421342468,-1.6417383065328435,0.8860058243831943
TC（总胆固醇）,-0.8693162298670256,0.6438185360465593,-1.350250390746996,0.17724427386928468,-2.1327219684539616,0.39408950871991055
空腹血糖,-0.356912304794211,0.6391736589168113,-0.5583964542579237,0.5766999569472768,-1.611203107895148,0.8973784983067262
血尿酸,0.0003185458211077963,0.6398469921813953,0.000497846868079813,0.9996028759832292,-1.2552935816326207,1.2559306732748365
BMI,-0.2010113565406289,0.6411297642436833,-0.3135267893509116,0.7539465152838885,-1.4591407485558059,1.0571180354745482
ADL总分,-0.75927764244362,0.6388421936716029,-1.1885214376336686,0.2349130605146088,-2.012917990378246,0.4943627054910059
IADL总分,0.47318158447130254,0.6397826599756967,0.7395973884151177,0.4597196601508594,-0.7823042998357863,1.7286674687783914
