变量,系数,标准误,t值,p值
截距,38.011851613942376,8.212590953180076,4.628484704844997,4.173004141517881e-06
hdl_c,0.7586997239780828,2.4958130273032118,0.30398900706030724,0.7612001458790623
ldl_c,0.762522416217445,1.0737601355107478,0.7101422291625135,0.47778317878653764
tg,-0.4301822081076694,0.6386246035615838,-0.6736073206521648,0.5007182256592773
tc,-0.48072280245460575,0.3530832119264768,-1.3615000266699386,0.17366549262139772
fbg,-0.3489900876466285,0.6381892798678606,-0.5468441709313703,0.5846090261217922
uric_acid,-5.302021064751156e-05,0.004526210548661568,-0.011714039830336663,0.9906561223002288
bmi,-0.06835770748873404,0.22159686764155723,-0.3084777696375459,0.7577837100747685
adl_total,-0.10995602880789762,0.0927978695577113,-1.184898202210511,0.2363420581412119
iadl_total,0.06565244830321504,0.08951823597085104,0.7333974758460702,0.46348966671198466
