模型,变量,变量类型,未确诊组描述,确诊组描述,描述方式,未确诊组_Shapiro_p,确诊组_Shapiro_p,Levene_p,检验方法,统计量,原始p值,效应量类型,效应量,FDR校正后p值,FDR显著
模型A_含直接血脂指标,HDL-C（高密度脂蛋白）,连续变量,"1.37 (1.25, 1.51)","1.29 (1.09, 1.47)",中位数(IQR),0.0003321096592117101,0.07065064460039139,0.00010401387694912792,Mann-Whitney U检验,101444.5,1.6572724942781463e-07,Rank-biserial r,0.23599003356665516,4.30890848512318e-07,是
模型A_含直接血脂指标,LDL-C（低密度脂蛋白）,连续变量,"2.48 (2.12, 2.76)","2.68 (2.23, 3.11)",中位数(IQR),3.332205551487277e-07,0.2344253957271576,5.568472155973152e-06,Mann-Whitney U检验,60566.0,6.1501450418986026e-09,Rank-biserial r,-0.2620696797460874,1.9987971386170458e-08,是
模型A_含直接血脂指标,TG（甘油三酯）,连续变量,"0.97 (0.66, 1.29)","2.05 (1.30, 2.93)",中位数(IQR),0.004953272640705109,1.2441384728001381e-11,2.6126942995673333e-35,Mann-Whitney U检验,24916.0,7.937315469088066e-54,Rank-biserial r,-0.6964258518071775,1.0318510109814487e-52,是
模型A_含直接血脂指标,TC（总胆固醇）,连续变量,"4.48 (3.74, 5.01)","6.57 (4.82, 7.78)",中位数(IQR),0.0009780969703570008,8.027515894311506e-15,1.1826502423812201e-16,Mann-Whitney U检验,31142.5,4.192544771122707e-43,Rank-biserial r,-0.6205627745185835,2.7251541012297596e-42,是
模型A_含直接血脂指标,空腹血糖,连续变量,5.07 ± 0.97,4.96 ± 1.01,均值±标准差,0.8374245762825012,0.19493524730205536,0.22944364308161017,独立样本t检验,1.351575101740412,0.17681754143031234,Cohen's d,-0.10549173043999215,0.2554031153993401,否
模型A_含直接血脂指标,血尿酸,连续变量,"300.00 (233.00, 347.50)","394.00 (192.00, 473.00)",中位数(IQR),0.00028782308800145984,3.7747736980036026e-21,3.618791082840793e-23,Mann-Whitney U检验,58186.0,1.0762796974903518e-10,Rank-biserial r,-0.29106737089630885,4.663878689124858e-10,是
模型A_含直接血脂指标,BMI,连续变量,21.79 ± 3.00,21.98 ± 2.87,均值±标准差,0.5468627214431763,0.061128340661525726,0.4061405443027881,独立样本t检验,-0.8576101372496986,0.39131367498974146,Cohen's d,0.06693729213038284,0.46246161589696716,否
模型A_含直接血脂指标,ADL总分,连续变量,"25.00 (20.00, 29.00)","25.00 (20.00, 30.00)",中位数(IQR),0.620792806148529,0.011619909666478634,0.8988390972104128,Mann-Whitney U检验,78856.5,0.38397828722281124,Rank-biserial r,-0.039219986475866775,0.46246161589696716,否
模型A_含直接血脂指标,IADL总分,连续变量,"25.00 (19.00, 29.00)","25.00 (20.00, 30.00)",中位数(IQR),0.021119801327586174,0.018931392580270767,0.35256743031739746,Mann-Whitney U检验,80806.0,0.7314206620774699,Rank-biserial r,-0.015467465930758872,0.7923723839172591,否
模型A_含直接血脂指标,年龄组,分类变量,1: 29(14.0%)；2: 47(22.7%)；3: 58(28.0%)；4: 32(15.5%)；5: 41(19.8%),1: 177(22.3%)；2: 170(21.4%)；3: 158(19.9%)；4: 143(18.0%)；5: 145(18.3%),频数(构成比),,,,卡方检验,11.430846161483048,0.022125682360118203,Cramer's V,0.1069151353246258,0.04793897844692277,是
模型A_含直接血脂指标,性别,分类变量,0: 100(48.3%)；1: 107(51.7%),0: 385(48.5%)；1: 408(51.5%),频数(构成比),,,,卡方检验,0.003805412065575944,0.9508112788146816,Cramer's V,0.0019507465405777206,0.9508112788146816,否
模型A_含直接血脂指标,吸烟史,分类变量,0: 94(45.4%)；1: 113(54.6%),0: 409(51.6%)；1: 384(48.4%),频数(构成比),,,,卡方检验,2.4961974957164053,0.11412154328359528,Cramer's V,0.04996196048711865,0.18544750783584232,否
模型A_含直接血脂指标,饮酒史,分类变量,0: 88(42.5%)；1: 119(57.5%),0: 387(48.8%)；1: 406(51.2%),频数(构成比),,,,卡方检验,2.6042560086150885,0.10657716295615703,Cramer's V,0.05103191166922016,0.18544750783584232,否
