antecedent,consequent,antecedent_len,support,confidence,lift,leverage,conviction,used_min_support,used_min_confidence,used_min_lift
LDL-C_<=3.1 + TG_>1.7,高血脂阳性,2,0.381294964028777,1.0,1.2930232558139536,0.0864085709849387,inf,0.08,0.85,1.08
TC_<=6.2 + TG_>1.7,高血脂阳性,2,0.3345323741007194,1.0,1.2930232558139536,0.0758112934113141,inf,0.08,0.85,1.08
LDL-C_<=3.1 + 高尿酸_是,高血脂阳性,2,0.33093525179856115,1.0,1.2930232558139536,0.07499611821334301,inf,0.08,0.85,1.08
HDL-C_1.04-1.55 + TG_>1.7,高血脂阳性,2,0.3273381294964029,1.0,1.2930232558139536,0.07418094301537187,inf,0.08,0.85,1.08
LDL-C_<=3.1 + TC_>6.2,高血脂阳性,2,0.32014388489208634,1.0,1.2930232558139536,0.07255059261942964,inf,0.08,0.85,1.08
HDL-C_1.04-1.55 + TC_>6.2,高血脂阳性,2,0.2949640287769784,1.0,1.2930232558139536,0.0668443662336318,inf,0.08,0.85,1.08
TG_>1.7 + 高尿酸_是,高血脂阳性,2,0.2949640287769784,1.0,1.2930232558139536,0.0668443662336318,inf,0.08,0.85,1.08
HDL-C_1.04-1.55 + 高尿酸_是,高血脂阳性,2,0.29136690647482016,1.0,1.2930232558139536,0.06602919103566068,inf,0.08,0.85,1.08
ADL总分_20-29 + TG_>1.7,高血脂阳性,2,0.2805755395683453,1.0,1.2930232558139536,0.06358366544174732,inf,0.08,0.85,1.08
TG_>1.7 + 吸烟史_无,高血脂阳性,2,0.2697841726618705,1.0,1.2930232558139536,0.06113813984783398,inf,0.08,0.85,1.08
TC_>6.2 + TG_<=1.7,高血脂阳性,2,0.26258992805755393,1.0,1.2930232558139536,0.059507789451891724,inf,0.08,0.85,1.08
TG_>1.7 + 性别_女,高血脂阳性,2,0.26258992805755393,1.0,1.2930232558139536,0.059507789451891724,inf,0.08,0.85,1.08
LDL-C_<=3.1 + TC_<=6.2 + TG_>1.7,高血脂阳性,3,0.25539568345323743,1.0,1.2930232558139536,0.0578774390559495,inf,0.08,0.85,1.08
TG_>1.7 + 性别_男,高血脂阳性,2,0.24820143884892087,1.0,1.2930232558139536,0.056247088660007244,inf,0.08,0.85,1.08
HDL-C_1.04-1.55 + LDL-C_<=3.1 + TG_>1.7,高血脂阳性,3,0.2446043165467626,1.0,1.2930232558139536,0.05543191346203613,inf,0.08,0.85,1.08
