path_name,feature_name,feature_role
Path1_九种体质全量路径,平和质,连续变量
Path1_九种体质全量路径,气虚质,连续变量
Path1_九种体质全量路径,阳虚质,连续变量
Path1_九种体质全量路径,阴虚质,连续变量
Path1_九种体质全量路径,痰湿质,连续变量
Path1_九种体质全量路径,湿热质,连续变量
Path1_九种体质全量路径,血瘀质,连续变量
Path1_九种体质全量路径,气郁质,连续变量
Path1_九种体质全量路径,特禀质,连续变量
Path1_九种体质全量路径,ADL总分,连续变量
Path1_九种体质全量路径,IADL总分,连续变量
Path1_九种体质全量路径,TG（甘油三酯）,连续变量
Path1_九种体质全量路径,TC（总胆固醇）,连续变量
Path1_九种体质全量路径,LDL-C（低密度脂蛋白）,连续变量
Path1_九种体质全量路径,HDL-C（高密度脂蛋白）,连续变量
Path1_九种体质全量路径,血尿酸,连续变量
Path1_九种体质全量路径,年龄组,离散变量
Path1_九种体质全量路径,性别,离散变量
Path1_九种体质全量路径,吸烟史,离散变量
