feature,mean_abs_shap
TC（总胆固醇）,0.15617409645520097
TG（甘油三酯）,0.15325926423767755
血尿酸,0.0560001003138684
LDL-C（低密度脂蛋白）,0.02745383210849836
HDL-C（高密度脂蛋白）,0.016599805429123756
血瘀质,0.005284275109373146
气郁质,0.0047810072212664916
IADL总分,0.0031281353041395367
阴虚质,0.002947004812712169
气虚质,0.0029150455988445918
ADL总分,0.0025046772132990996
湿热质,0.00245037419439898
平和质,0.0023650951629015722
阳虚质,0.0022905098640044886
特禀质,0.0016753991700089075
痰湿质,0.0016174549810796142
年龄组,0.0014772423982803537
性别,0.0012760708581977759
吸烟史,0.0012443956656897433
