antecedent,consequent,antecedent_len,support,confidence,lift,leverage,conviction
ADL总分_20-29 + 高尿酸_是,高血脂阳性,2,0.22661870503597123,1.0,1.2930232558139536,0.05135603747218054,inf
吸烟史_无 + 高尿酸_是,高血脂阳性,2,0.21942446043165467,1.0,1.2930232558139536,0.049725687076238284,inf
性别_男 + 高尿酸_是,高血脂阳性,2,0.21942446043165467,1.0,1.2930232558139536,0.049725687076238284,inf
吸烟史_有 + 高尿酸_是,高血脂阳性,2,0.21223021582733814,1.0,1.2930232558139536,0.04809533668029606,inf
性别_女 + 高尿酸_是,高血脂阳性,2,0.21223021582733814,1.0,1.2930232558139536,0.04809533668029606,inf
痰湿质_<=58 + 高尿酸_是,高血脂阳性,2,0.18345323741007194,1.0,1.2930232558139536,0.0415739350965271,inf
痰湿质_>=62 + 高尿酸_是,高血脂阳性,2,0.12589928057553956,1.0,1.2930232558139536,0.028531131928989192,inf
吸烟史_无 + 性别_男 + 高尿酸_是,高血脂阳性,3,0.12589928057553956,1.0,1.2930232558139536,0.028531131928989192,inf
痰湿质_59-61 + 高尿酸_是,高血脂阳性,2,0.1223021582733813,1.0,1.2930232558139536,0.027715956731018065,inf
ADL总分_20-29 + 吸烟史_无 + 高尿酸_是,高血脂阳性,3,0.1223021582733813,1.0,1.2930232558139536,0.027715956731018065,inf
吸烟史_有 + 性别_女 + 高尿酸_是,高血脂阳性,3,0.11870503597122302,1.0,1.2930232558139536,0.026900781533046952,inf
ADL总分_20-29 + 性别_女 + 高尿酸_是,高血脂阳性,3,0.11510791366906475,1.0,1.2930232558139536,0.026085606335075825,inf
ADL总分_>=30 + 高尿酸_是,高血脂阳性,2,0.11151079136690648,1.0,1.2930232558139536,0.025270431137104712,inf
ADL总分_20-29 + 性别_男 + 高尿酸_是,高血脂阳性,3,0.11151079136690648,1.0,1.2930232558139536,0.025270431137104712,inf
ADL总分_20-29 + 吸烟史_有 + 高尿酸_是,高血脂阳性,3,0.10431654676258993,1.0,1.2930232558139536,0.023640080741162472,inf
吸烟史_有 + 痰湿质_<=58 + 高尿酸_是,高血脂阳性,3,0.10071942446043165,1.0,1.2930232558139536,0.022824905543191346,inf
性别_女 + 痰湿质_<=58 + 高尿酸_是,高血脂阳性,3,0.10071942446043165,1.0,1.2930232558139536,0.022824905543191346,inf
年龄组_40-49 + 高尿酸_是,高血脂阳性,2,0.09712230215827339,1.0,1.2930232558139536,0.022009730345220233,inf
ADL总分_<20 + 高尿酸_是,高血脂阳性,2,0.09352517985611511,1.0,1.2930232558139536,0.021194555147249106,inf
年龄组_50-59 + 高尿酸_是,高血脂阳性,2,0.09352517985611511,1.0,1.2930232558139536,0.021194555147249106,inf
ADL总分_20-29 + 痰湿质_<=58 + 高尿酸_是,高血脂阳性,3,0.09352517985611511,1.0,1.2930232558139536,0.021194555147249106,inf
吸烟史_无 + 性别_女 + 高尿酸_是,高血脂阳性,3,0.09352517985611511,1.0,1.2930232558139536,0.021194555147249106,inf
吸烟史_有 + 性别_男 + 高尿酸_是,高血脂阳性,3,0.09352517985611511,1.0,1.2930232558139536,0.021194555147249106,inf
年龄组_60-69 + 高尿酸_是,高血脂阳性,2,0.08273381294964029,1.0,1.2930232558139536,0.018749029553335753,inf
年龄组_80-89 + 高尿酸_是,高血脂阳性,2,0.08273381294964029,1.0,1.2930232558139536,0.018749029553335753,inf
吸烟史_无 + 痰湿质_<=58 + 高尿酸_是,高血脂阳性,3,0.08273381294964029,1.0,1.2930232558139536,0.018749029553335753,inf
性别_男 + 痰湿质_<=58 + 高尿酸_是,高血脂阳性,3,0.08273381294964029,1.0,1.2930232558139536,0.018749029553335753,inf
年龄组_40-49 + 性别_女,高血脂阳性,2,0.08633093525179857,0.9230769230769231,1.1935599284436496,0.014000310542932562,2.9460431654676285
ADL总分_20-29 + 吸烟史_无 + 痰湿质_>=62,高血脂阳性,3,0.08273381294964029,0.8846153846153846,1.1438282647584974,0.010403188240774283,1.964028776978417
ADL总分_20-29 + 性别_女 + 痰湿质_<=58,高血脂阳性,3,0.08273381294964029,0.8846153846153846,1.1438282647584974,0.010403188240774283,1.964028776978417
年龄组_70-79 + 性别_女,高血脂阳性,2,0.08992805755395683,0.8620689655172413,1.1146752205292703,0.009251591532529371,1.642985611510791
ADL总分_>=30 + 性别_女,高血脂阳性,2,0.08633093525179857,0.8571428571428572,1.1083056478405318,0.008436416334558258,1.5863309352517996
性别_女 + 痰湿质_<=58,高血脂阳性,2,0.1474820143884892,0.8541666666666666,1.1044573643410853,0.013948553387505808,1.553956834532374
ADL总分_>=30 + 吸烟史_无,高血脂阳性,2,0.10431654676258993,0.8529411764705882,1.102872777017784,0.0097303452202267,1.5410071942446042
